,title,area,height,dic,year,cost,price,chamber,hall,layers,addr_district,addr_detail,price_cor,height_state,中,低,高,东北向,东南向,东向,东西向,北向,南北向,南向,西北向,西南向,西向,万家湾,光华,八宝街,内光华,内金沙,外光华,外金沙,天府广场,府南新区,杜甫草堂,浣花小区,石人小区,苏坡,草市街,西南财大,贝森,长顺街,顺城街,骡马市
2545,保利香槟光华,78.16,中,南向,2014,175.0,22389,3,1,18,万家湾,光华东五路255号,22389.969293756396,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3057,元益花园,78.18,高,西向,2014,122.0,15605,2,1,21,外光华,元益花园光华大道一段866号,15605.014070094652,15.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2431,证大正府,78.1,中,东南向,2015,160.0,20486,1,1,32,顺城街,正府街172号,20486.555697823303,16.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,长顺上街125号院,78.22,低,南向,2015,163.0,20838,2,1,7,天府广场,长顺上街125号,20838.660189209924,1.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1630,长顺上街125号院,78.22,低,南向,2015,163.0,20838,2,1,7,天府广场,长顺上街125号,20838.660189209924,1.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
598,海亮樾金沙,78.24,低,西南向,2016,236.0,30163,3,1,18,外金沙,海亮樾金沙蜀鑫路与清波路交汇处,30163.59918200409,4.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,保利金香槟,78.25,高,东北向,2011,149.0,19041,2,2,18,外金沙,保利金香槟蜀鑫路105号,19041.533546325878,13.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2621,东华门街小区,78.26,低,东南向,2020,178.0,22744,3,1,6,顺城街,东华门街东二巷,22744.69716330181,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1204,东华门街小区,78.26,低,东南向,2020,178.0,22744,3,1,6,顺城街,东华门街东二巷,22744.69716330181,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2937,保利金香槟,78.27,中,东北向,2012,146.0,18653,2,1,18,外金沙,保利金香槟蜀鑫路105号,18653.379327967294,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2584,优品道四期,78.27,低,北向,2013,220.0,28107,2,1,31,贝森,优品道四期优品街77号,28107.831864060303,7.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2738,优品道四期,78.27,低,北向,2013,220.0,28107,2,1,31,贝森,优品道四期优品街77号,28107.831864060303,7.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4498,海亮樾金沙,78.2,中,东北向,2016,176.0,22506,3,2,24,外金沙,海亮樾金沙蜀鑫路与清波路交汇处,22506.393861892586,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3289,海亮樾金沙,78.2,中,东北向,2016,176.0,22506,3,2,24,外金沙,海亮樾金沙蜀鑫路与清波路交汇处,22506.393861892586,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3730,海亮樾金沙,78.2,中,东北向,2016,176.0,22506,3,2,24,外金沙,海亮樾金沙蜀鑫路与清波路交汇处,22506.393861892586,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2066,柿子巷2号院,78.32,低,南向,1990,160.0,20429,3,1,6,天府广场,柿子巷2号,20429.00919305414,1.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2239,金阳易诚国际,78.32,高,北向,2010,125.0,15960,2,2,22,万家湾,培华路399号,15960.163432073547,16.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,贝森兴苑,78.39,高,东南向,2000,116.0,14797,3,1,7,贝森,贝双街2号(海宁西苑旁),14797.805842581962,5.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1763,贝森兴苑,78.39,高,东南向,2000,116.0,14797,3,1,7,贝森,贝双街2号(海宁西苑旁),14797.805842581962,5.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
380,包家巷123号院,78.39,低,南向,2014,233.0,29723,3,1,7,天府广场,包家巷123号,29723.17897691032,1.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1223,贝森兴苑,78.39,高,东南向,2000,116.0,14797,3,1,7,贝森,贝双街2号(海宁西苑旁),14797.805842581962,5.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,光华碧邻,78.41,中,东向,2015,135.0,17217,2,1,20,万家湾,光华西二路126号,17217.19168473409,10.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2206,朗基龙堂,78.43,高,南向,2010,169.0,21547,2,1,27,内光华,东坡北二路687号,21547.877087849036,20.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,朗基龙堂,78.43,高,南向,2010,169.0,21547,2,1,27,内光华,东坡北二路687号,21547.877087849036,20.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2563,朗基龙堂,78.43,高,南向,2010,169.0,21547,2,1,27,内光华,东坡北二路687号,21547.877087849036,20.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3190,保利香槟光华,78.45,低,南向,2014,161.0,20522,3,2,18,万家湾,光华东五路255号,20522.625876354366,4.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3508,清溪雅筑,78.4,低,南向,2012,118.5,15114,2,1,18,外光华,培风路271号,15114.795918367345,4.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3485,清溪雅筑,78.4,低,南向,2012,118.5,15114,2,1,18,外光华,培风路271号,15114.795918367345,4.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,长虹和悦府,78.4,中,东南向,2015,168.0,21428,3,2,20,万家湾,光华北一路527号,21428.571428571428,10.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2812,光华馨地,78.51,低,北向,2006,118.0,15029,2,1,11,贝森,青羊大道98号,15029.932492676091,2.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2921,朗基龙堂,78.53,高,南向,2015,200.0,25467,2,1,26,内光华,东坡北二路687号,25467.974022666494,19.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,朗基龙堂,78.53,高,南向,2015,200.0,25467,2,1,26,内光华,东坡北二路687号,25467.974022666494,19.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,元益花园,78.54,中,北向,2015,130.0,16552,2,2,21,外光华,光华大道一段866号,16552.075375604785,10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2614,元益花园,78.54,中,北向,2015,130.0,16552,2,2,21,外光华,光华大道一段866号,16552.075375604785,10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1283,元益花园,78.54,中,北向,2015,130.0,16552,2,2,21,外光华,光华大道一段866号,16552.075375604785,10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4390,金沙鹭岛四期,78.57,中,西北向,2017,197.0,25073,2,2,32,内金沙,金沙鹭岛四期金阳路377号,25073.183148784523,16.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4393,青森小区,78.57,低,南向,1998,113.0,14382,2,2,7,贝森,青森路1号,14382.079674175897,1.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2499,金沙鹭岛一期,78.57,中,西北向,2017,198.0,25200,2,2,32,内金沙,金沙鹭岛一期金沙遗址路55号,25200.458190148915,16.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,金沙鹭岛四期,78.57,低,西北向,2017,188.0,23927,2,1,32,内金沙,金沙鹭岛四期金阳路377号,23927.707776505027,8.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,元益花园,78.58,高,北向,2014,127.6,16238,2,2,21,外光华,光华大道一段866号,16238.228556884704,15.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,冠城花园三期,78.61,中,南向,2008,169.0,2198,2,2,20,天府广场,小南街123号,21498.53708179621,10.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1667,凯德风尚,78.66,低,西向,2012,158.0,20086,2,1,19,万家湾,苏坡中路8号,20086.44800406814,4.75,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,凯德风尚,78.66,低,西向,2012,158.0,20086,2,1,19,万家湾,苏坡中路8号,20086.44800406814,4.75,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,金沙蜜地,78.67,低,南向,2010,115.0,14618,2,1,25,内金沙,锦屏南路1号,14618.024659972036,6.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,西财骏苑,78.72,中,西向,2004,132.0,16768,3,1,12,西南财大,二环路西二段45号,16768.29268292683,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1058,城置尚豪庭,78.74,中,西北向,2014,143.0,18161,1,1,26,草市街,青羊区草市街38号,18161.036322072647,13.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,元益花园,78.76,低,东向,2014,135.0,17140,3,1,21,外光华,光华大道一段866号,17140.680548501776,5.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2722,尊城国际,78.76,中,东向,2012,280.0,35551,1,1,36,天府广场,金河路59号(宽窄巷子对面),35551.041137633314,18.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1207,大石东路9号院,78.99,中,西南向,2015,135.0,17090,2,1,7,浣花小区,大石东路9号,17090.77098366882,3.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2775,大石东路9号院,78.99,低,南向,2015,153.0,19369,2,2,6,浣花小区,大石东路9号,19369.540448157997,1.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,阳城心灵家园,78.9,中,北向,2015,145.0,18377,2,1,20,万家湾,青羊区培华路312号,18377.693282636246,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,阳城心灵家园,78.9,中,北向,2015,145.0,18377,2,1,20,万家湾,青羊区培华路312号,18377.693282636246,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1643,金阳易诚国际,78.9,中,北向,2010,130.0,16476,2,1,22,万家湾,培华路399号,16476.5525982256,11.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2860,阳城心灵家园,78.9,低,北向,2013,180.0,22813,2,1,20,万家湾,青羊区培华路312号,22813.688212927755,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
