,title,area,height,dic,year,cost,price,chamber,hall,layers,addr_district,addr_detail,price_cor
4061,中海金沙府,157.0,高,南北向,2012,443.1,28222,3,2,31,内金沙,蜀辉路318号(黄苑街与蜀辉路交汇处),28222.929936305733
3944,中海金沙府,157.0,高,南北向,2012,443.1,28222,3,2,31,内金沙,蜀辉路318号(黄苑街与蜀辉路交汇处),28222.929936305733
4502,嘉逸花园,158.06,中,南北向,2002,328.0,20751,3,2,9,内金沙,双锦路9号(西南财经大学北门对面),20751.61331140073
2114,嘉逸花园,158.06,低,南北向,2002,300.0,18980,3,2,9,内金沙,双锦路9号(西南财经大学北门对面),18980.13412628116
4558,蜀风花园城兰苑二期,158.32,高,南向,2005,380.0,24002,3,2,5,内金沙,蜀风花园城兰苑二期金凤路17号,24002.02122283982
3959,蜀风花园城兰苑二期,158.32,高,南向,2005,380.0,24002,3,2,5,内金沙,蜀风花园城兰苑二期金凤路17号,24002.02122283982
3212,蜀风花园城一期,158.32,高,南向,2005,390.0,24633,3,2,5,内金沙,金沙遗址路8号,24633.653360282973
4438,蜀风花园城兰苑二期,158.32,高,南向,2005,380.0,24002,3,2,5,内金沙,蜀风花园城兰苑二期金凤路17号,24002.02122283982
3243,建发金沙里,158.4,中,东南向,2012,468.0,29545,4,2,31,内金沙,建发金沙里蜀辉路588号,29545.454545454544
3202,建发金沙里,158.4,中,东南向,2012,468.0,29545,4,2,31,内金沙,建发金沙里蜀辉路588号,29545.454545454544
3363,建发金沙里,158.4,中,东南向,2012,468.0,29545,4,2,31,内金沙,建发金沙里蜀辉路588号,29545.454545454544
3707,中大君悦金沙一期,158.5,低,东南向,2008,415.0,26182,4,2,18,内金沙,蜀辉路19号,26182.965299684543
3608,蜀风花园城一期,158.0,中,东南向,2006,400.0,25316,4,3,5,内金沙,蜀风花园城一期金沙遗址路8号,25316.455696202534
3932,中大君悦金沙一期,158.0,中,南北向,2010,430.0,27215,4,2,18,内金沙,中大君悦金沙一期蜀辉路19号,27215.18987341772
3915,蜀风花园城兰苑二期,158.0,高,南向,2004,400.0,25316,4,1,5,内金沙,金凤路17号,25316.455696202534
3593,建发金沙里,158.0,中,西北向,2012,430.0,27215,3,1,12,内金沙,建发金沙里蜀辉路588号,27215.18987341772
4209,蜀风花园城兰苑二期,158.0,高,南向,2004,400.0,25316,4,1,5,内金沙,金凤路17号,25316.455696202534
4546,蜀风花园城兰苑二期,158.0,中,南北向,2005,425.0,26898,3,2,5,内金沙,蜀风花园城兰苑二期金凤路17号,26898.734177215192
3725,蜀风花园城一期,158.0,中,东南向,2006,400.0,25316,4,3,5,内金沙,蜀风花园城一期金沙遗址路8号,25316.455696202534
4530,中大君悦金沙一期,158.0,中,南北向,2010,430.0,27215,4,2,18,内金沙,中大君悦金沙一期蜀辉路19号,27215.18987341772
4322,华润金悦湾,158.0,高,南向,2013,400.0,25316,4,2,22,外金沙,华润金悦湾清波路77号,25316.455696202534
588,蜀风花园城一期,158.0,高,东向,2004,400.0,25316,4,3,5,内金沙,金沙遗址路8号,25316.455696202534
4335,蜀风花园城一期,158.0,中,东南向,2006,400.0,25316,4,3,5,内金沙,蜀风花园城一期金沙遗址路8号,25316.455696202534
4380,蜀风花园城兰苑二期,158.0,高,南向,2004,400.0,25316,4,1,5,内金沙,金凤路17号,25316.455696202534
495,华润金悦湾,158.0,中,东西向,2016,480.0,30379,4,2,22,外金沙,清波路77号,30379.74683544304
1924,蜀风花园城一期,158.0,高,东向,2004,400.0,25316,4,3,5,内金沙,金沙遗址路8号,25316.455696202534
3248,凯德风尚,159.47,低,西向,2012,335.0,21007,3,2,19,万家湾,苏坡中路8号,21007.08597228319
2055,天合凯旋城,159.55,低,南向,2008,385.0,24130,3,3,31,贝森,天合凯旋城瑞联路66号,24130.36665622062
2483,蜀风花园城一期,159.74,低,东南向,2003,320.0,20032,3,2,6,内金沙,金沙遗址路8号,20032.552898459995
690,蜀风花园城一期,159.74,低,东南向,2003,320.0,20032,3,2,6,内金沙,金沙遗址路8号,20032.552898459995
86,蜀风花园城一期,159.74,低,东南向,2003,320.0,20032,3,2,6,内金沙,金沙遗址路8号,20032.552898459995
2120,蜀风花园城一期,159.81,中,西南向,2003,340.0,21275,3,2,5,内金沙,蜀风花园城一期金沙遗址路8号,21275.26437644703
1401,长顺上街251号院,159.85,高,南向,2015,540.0,33781,4,1,18,长顺街,长顺上街251号,33781.670315921176
251,中铁西城,159.8,中,南向,2012,470.0,29411,4,2,7,万家湾,光华大道一段398号,29411.76470588235
3323,科联街社区,159.8,高,南北向,2003,400.0,25031,4,2,5,浣花小区,科联街社区科联街5号(成都职业技术学院附近),25031.289111389236
301,中铁西城,159.8,中,南向,2012,470.0,29411,4,2,7,万家湾,光华大道一段398号,29411.76470588235
1411,中铁西城,159.8,中,南向,2012,470.0,29411,4,2,7,万家湾,光华大道一段398号,29411.76470588235
2402,优品道二期,160.07,中,南向,2010,431.0,26925,3,2,24,贝森,优品道二期青羊大道99号,26925.719997501095
1282,优品道二期,160.07,中,南向,2010,380.0,23739,3,2,24,贝森,优品道二期青羊大道99号,23739.613918910476
1704,优品道二期,160.07,中,南向,2010,380.0,23739,3,2,24,贝森,优品道二期青羊大道99号,23739.613918910476
305,北斗星花园公寓,160.13,低,东北向,2001,230.0,14363,4,2,21,草市街,北斗星花园公寓北大街119号,14363.329794541934
3281,童子街庭苑,160.2,低,西北向,2008,336.0,20973,4,1,25,顺城街,童子街庭苑童子街29号,20973.78277153558
4307,童子街庭苑,160.2,低,西北向,2008,336.0,20973,4,1,25,顺城街,童子街庭苑童子街29号,20973.78277153558
3419,瑞景光华,160.65,高,南北向,2008,355.0,22097,3,3,12,内光华,瑞景光华瑞星路99号,22097.727980080923
2561,百花芳邻,160.71,高,西南向,2015,460.0,28622,4,2,6,浣花小区,芳邻路1号(近一环路),28622.985501835607
1833,百花芳邻,160.71,高,西南向,2015,460.0,28622,4,2,6,浣花小区,芳邻路1号(近一环路),28622.985501835607
3968,北斗星花园公寓,160.0,中,南北向,2004,230.0,14375,3,2,21,草市街,北大街119号,14375.0
509,瑞景光华,160.0,中,西向,2008,343.0,21437,4,2,12,内光华,瑞景光华瑞星路99号,21437.5
3957,瑞景光华,160.0,中,西向,2008,363.0,22687,3,2,12,内光华,瑞星路99号,22687.5
3315,瑞景光华,160.0,中,西向,2008,363.0,22687,3,2,12,内光华,瑞星路99号,22687.5
3512,金林半岛,160.0,中,南北向,2004,630.0,39375,3,2,4,杜甫草堂,金林半岛草堂路33号,39375.0
3236,金林半岛,160.0,中,南北向,2004,630.0,39375,3,2,4,杜甫草堂,金林半岛草堂路33号,39375.0
4411,瑞景光华,160.0,中,西向,2008,363.0,22687,3,2,12,内光华,瑞星路99号,22687.5
